name,description,team,battingStyle,bowlingStyle,playingRole
Rohit Sharma,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20.",India,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them.",India,Right hand Bat,Right arm Medium,Top order Batter
Rishabh Pant,"A match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team.",India,Left hand Bat,N/A,Wicketkeeper Batter
Suryakumar Yadav,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. He also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140.",India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.",India,Left hand Bat,Slow Left arm Orthodox,Allrounder
Shivam Dube,"Within his first year of white-ball debut in domestic cricket, Dube had started hitting boundaries in the lower order and picking wickets. His Ranji Trophy debut also put him in the spotlight when he bagged a five-for to dismiss five of Karnataka's top six batters, combined with a brisk 71 down the order. But the headline moment came when he smashed five sixes in an over off Pravin Tambe in a Mumbai T20 league game and repeated the feat in a Ranji match against Baroda, just a day before the IPL auction in December 2018. That season, Dube had also taken a seven-for against Karnataka and struck his maiden first-class century. Those shot his value up so much that RCB splurged Rs 5 crore for him. However, he couldn't prove to be the finisher RCB wanted him to be for two seasons and he switched to Rajasthan Royals for the 2020 season.",India,Left hand Bat,Right arm Medium,Allrounder
Hardik Pandya,Allrounder Hardik Pandya's calling cards brisk seam bowling and powerful ball-striking marked by the ability to hit sixes from the first ball.,India,Right hand Bat,Right arm Medium fast,Allrounder
Ravindra Jadeja,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling.",India,Left hand Bat,Slow Left arm Orthodox,Allrounder
Reeza Hendricks,"Hendricks made his international debut in a T20I series against Australia in 2014, where he made 49 in the third match. In August 2018 he joined the short list of South Africans to have made a century in their first ODI, cracking 102 from 89 balls against Sri Lanka to seal an away series win.",South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
Quinton de Kock,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa.",South Africa,Left hand Bat,N/A,Wicketkeeper Batter
